Age,Gender,Income Level,Location,Purchase Frequency,Avg Spend (INR),Product Category,Quantity Purchased,Previous Channel,Loyalty Membership,Payment Method,Discounts Used,Time of Purchase,Seasonality,Proximity to Store (km),Delivery Time (days),Device Ownership,Internet Access,Tech Savviness,Trust Level,Current Promotions,Channel Preference
35,Male,Low,Urban,3,452,Home Appliances,10,Offline,TRUE,Credit Card,TRUE,Evening,Holiday Weekend,3,7,FALSE,TRUE,High,Low,Online Only,Offline
37,Female,High,Rural,4,149,Electronics,7,Offline,TRUE,Debit Card,FALSE,Evening,Black Friday,15,5,TRUE,TRUE,Low,High,Online Only,Online
47,Female,High,Urban,3,757,Home Appliances,8,Offline,FALSE,Digital Wallet,FALSE,Evening,Summer Sale,4,2,TRUE,FALSE,High,Medium,Online Only,Offline
18,Female,Low,Rural,16,545,Electronics,10,Online,TRUE,Debit Card,FALSE,Evening,Black Friday,3,1,TRUE,TRUE,High,Medium,Offline Only,Offline
52,Male,Medium,Suburban,5,219,Electronics,9,Offline,TRUE,Digital Wallet,FALSE,Evening,New Year Sale,15,1,FALSE,TRUE,High,Low,Offline Only,Offline
22,Female,Medium,Rural,18,803,Fashion,9,Online,FALSE,Debit Card,TRUE,Afternoon,Regular,11,5,FALSE,FALSE,Medium,Medium,Offline Only,Offline
45,Male,Medium,Rural,9,114,Fashion,2,Offline,TRUE,Debit Card,FALSE,Morning,Regular,10,3,TRUE,FALSE,Low,Medium,Offline Only,Online
46,Female,High,Suburban,3,940,Electronics,6,Offline,TRUE,Debit Card,TRUE,Afternoon,Black Friday,2,1,FALSE,FALSE,Low,Low,Offline Only,Online
24,Female,Medium,Rural,13,941,Electronics,4,Online,TRUE,UPI,TRUE,Afternoon,Holiday Weekend,12,5,TRUE,FALSE,Low,Low,Offline Only,Offline
51,Female,High,Suburban,20,928,Home Appliances,2,Online,FALSE,Cash,TRUE,Morning,Summer Sale,11,5,FALSE,TRUE,High,Low,Offline Only,Offline
52,Male,High,Rural,11,391,Electronics,4,Online,TRUE,Cash,TRUE,Evening,Black Friday,15,7,TRUE,FALSE,High,High,Offline Only,Offline
34,Female,Medium,Urban,13,856,Groceries,5,Offline,TRUE,Credit Card,FALSE,Evening,Holiday Weekend,3,7,FALSE,FALSE,High,High,Offline Only,Offline
46,Male,High,Rural,16,812,Home Appliances,10,Online,FALSE,Cash,FALSE,Morning,Summer Sale,6,2,FALSE,FALSE,Low,Low,Online Only,Offline
44,Female,High,Suburban,8,937,Fashion,9,Offline,FALSE,Digital Wallet,TRUE,Morning,Summer Sale,5,5,FALSE,FALSE,High,High,Online Only,Online
24,Female,Low,Suburban,9,605,Electronics,10,Offline,FALSE,Digital Wallet,FALSE,Morning,Cyber Monday,5,5,FALSE,TRUE,Low,High,Offline Only,Offline
